河南城建学院,#genre#
CHC影迷电影,http://39.164.174.139:5000/nl.m3u8?id=CHCYMDYHD

北京卫视,http://39.164.174.139:5000/nl.m3u8?id=BJWSHD

东方卫视,http://39.164.174.139:5000/nl.m3u8?id=DFWSHD

天津卫视,http://39.164.174.139:5000/nl.m3u8?id=TJWSHD

重庆卫视,http://39.164.174.139:5000/nl.m3u8?id=CQWS

黑龙江卫视,http://39.164.174.139:5000/nl.m3u8?id=HLJWSHD

吉林卫视,http://39.164.174.139:5000/nl.m3u8?id=JLWSHD

辽宁卫视,http://39.164.174.139:5000/nl.m3u8?id=LNWSHD

内蒙古卫视,http://39.164.174.139:5000/nl.m3u8?id=NMGWS

宁夏卫视,http://39.164.174.139:5000/nl.m3u8?id=NXWS

甘肃卫视,http://39.164.174.139:5000/nl.m3u8?id=GSWS

青海卫视,http://39.164.174.139:5000/nl.m3u8?id=QHWS

陕西卫视,http://39.164.174.139:5000/nl.m3u8?id=SXWS

河北卫视,http://39.164.174.139:5000/nl.m3u8?id=HEBWSHD

山西卫视,http://39.164.174.139:5000/nl.m3u8?id=SAXWS

山东卫视,http://39.164.174.139:5000/nl.m3u8?id=SDWSHD

安徽卫视,http://39.164.174.139:5000/nl.m3u8?id=AHWSHD

河南卫视,http://39.164.174.139:5000/nl.m3u8?id=HENWSHD

湖北卫视,http://39.164.174.139:5000/nl.m3u8?id=HBWSHD

湖南卫视,http://39.164.174.139:5000/nl.m3u8?id=HNWSHD

江西卫视,http://39.164.174.139:5000/nl.m3u8?id=JXWSHD

江苏卫视,http://39.164.174.139:5000/nl.m3u8?id=JSWSHD

浙江卫视,http://39.164.174.139:5000/nl.m3u8?id=ZJWSHD

东南卫视,http://39.164.174.139:5000/nl.m3u8?id=DNWS

广东卫视,http://39.164.174.139:5000/nl.m3u8?id=GDWSHD

深圳卫视,http://39.164.174.139:5000/nl.m3u8?id=SZWSHD

广西卫视,http://39.164.174.139:5000/nl.m3u8?id=GXWS

云南卫视,http://39.164.174.139:5000/nl.m3u8?id=YNWS

四川卫视,http://39.164.174.139:5000/nl.m3u8?id=SCWSHD

新疆卫视,http://39.164.174.139:5000/nl.m3u8?id=XJWS

兵团卫视,http://39.164.174.139:5000/nl.m3u8?id=BTWS

西藏卫视,http://39.164.174.139:5000/nl.m3u8?id=XZWS

北京纪实科教,http://39.164.174.139:5000/nl.m3u8?id=BJJSHD

卡酷少儿,http://39.164.174.139:5000/nl.m3u8?id=KKDH

四海钓鱼,http://39.164.174.139:5000/nl.m3u8?id=SHDY

百姓生活,http://39.164.174.139:5000/nl.m3u8?id=BXSHHD

东方财经,http://39.164.174.139:5000/nl.m3u8?id=DFCJHD

动漫秀场,http://39.164.174.139:5000/nl.m3u8?id=DMJCHD

劲爆体育,http://39.164.174.139:5000/nl.m3u8?id=JBTYHD

都市剧场,http://39.164.174.139:5000/nl.m3u8?id=DSJCHD

法治天地,http://39.164.174.139:5000/nl.m3u8?id=FZTDHD

